,id,lat,lon,cluster,cluster_size,geohash,time_ratio_weekday_True,time_ratio_weekday_False
24808,9777,54.8947,38.0741,0,192,202320012230311302,0.4195684808524416,0.6212726742709911
24809,9777,54.8916,38.0623,1,232,202320012230321230,0.5766479715792405,0.3787273257290089
24819,9782,54.8842,38.0676,0,330,202320012230012230,0.3395404566306773,0.6821506658715961
24820,9782,54.9035,38.067,1,123,202320012230320322,0.3661275979778856,0.0195653614258265
24821,9782,54.9048,38.0774,2,18,202320012230310012,0.0,0.0567746637514079
24822,9782,54.9014,38.066,3,98,202320012230320302,0.2186460836428068,0.0960511495395216
24823,9782,54.8979,38.0611,4,31,202320012230322003,0.0189744234745327,0.0923010667196713
24824,9783,54.8834,38.0642,0,382,202320012230012133,0.9611564887178744,0.9998794454490656
24825,9784,54.8438,38.1906,0,391,202320012301000011,1.0,1.0
24827,9786,54.8937,38.0675,0,423,202320012230321033,0.9764212617446036,1.0
24830,9789,54.8952,38.0708,0,734,202320012230312021,0.6071165074027568,0.0
24831,9789,54.8844,38.0837,1,616,202320012230133212,0.3764002099871595,0.9907099840665424
24832,9789,54.8928,38.0696,2,17,202320012230312201,0.0032508991848809,0.0045549884324898
24833,9789,54.8921,38.0729,3,30,202320012230312100,0.0082913004306155,0.0034702530449107
24834,9789,54.8958,38.0671,4,17,202320012230321032,0.0016440717645306,0.0
24836,9791,54.8792,38.0689,0,472,202320012230021002,0.9062887890568392,0.8120322925498581
24837,9791,54.8805,38.0695,1,98,202320012230021020,0.0815570439352029,0.1865853208979983
24838,9791,54.8925,38.0721,2,15,202320012230312101,0.0114421810712553,0.0
24841,9793,54.8921,38.0701,0,482,202320012230312200,0.4609833224477654,0.0008383339216378
24842,9793,54.8946,38.0829,1,614,202320012230200213,0.5034111705326599,0.9991616660783622
24843,9795,54.9059,38.0933,0,1013,202320012230213020,0.7635223095108328,0.8249110001567292
24844,9795,54.9057,38.0888,1,80,202320012230202231,0.0491736125334564,0.0251662449902603
24845,9795,54.8439,38.1904,2,161,202320012301000010,0.1268793762432262,0.1135951458701833
24848,9799,54.8795,38.0702,0,273,202320012230021021,0.85055744445323,0.9563894117175924
24849,9799,54.8813,38.0673,1,19,202320012230012300,0.0521575364621146,0.0436105882824075
24850,9800,54.9027,38.0768,0,65,202320012230310313,0.1886168453619245,0.0
24851,9800,54.8909,38.0734,1,507,202320012230311230,0.7481730410198966,0.999987570691691
24852,9800,54.8897,38.0736,2,29,202320012230311223,0.0520189897050194,0.0
24854,9802,54.9111,38.0345,0,388,202320012223123330,0.4230138149283947,0.5051828860804609
24855,9802,54.8916,38.0714,1,434,202320012230312131,0.5535331876647954,0.4833449663632178
24856,9803,54.8952,38.078,0,224,202320012230311032,1.0,1.0
24860,9807,54.8829,38.0657,0,224,202320012230012201,0.5559265442404007,0.2743067990666883
24861,9807,54.9392,38.1353,1,277,202320012232330313,0.225222593210907,0.2458624993217212
24862,9807,54.935,38.1313,2,47,202320012232323312,0.0266555370061213,0.0287698735688317
24863,9807,54.9018,38.0713,3,81,202320012230313131,0.1005286588759042,0.2390254490205654
24864,9807,54.9013,38.0738,4,26,202320012230310221,0.0108699684659617,0.0419773183569374
24866,9809,54.8856,38.086,0,511,202320012230130102,0.3453409328187956,0.536533447317803
24867,9809,54.8876,38.0836,1,44,202320012230133222,0.0303618520265724,2.564650566360333e-05
24868,9809,54.8872,38.0865,2,44,202320012230130100,0.0016704432087976,0.011481085702073
24869,9809,54.8871,38.0754,3,163,202320012230022122,0.2159047847370985,0.2108484718957042
