,id,lat,lon,cluster,cluster_size,inq,wd_rate,wd_all,work_place,geometry
721,1760.0,54.8815,38.0585,0.0,5455.0,30078.989068746567,1.0,1.0,False,POINT (38.0585 54.8815)
724,1773.0,54.8888,38.0809,0.0,2098.0,33059.161764621735,1.0,1.0,False,POINT (38.0809 54.8888)
725,1781.0,54.8917,38.0669,0.0,3691.0,27633.135135173798,1.0,1.0,False,POINT (38.0669 54.8917)
727,1790.0,54.9167,38.0656,0.0,4845.0,14148.013266146183,0.8333333333333334,0.45454545454545453,True,POINT (38.0656 54.9167)
728,1790.0,54.8857,38.0856,1.0,12983.0,17381.470588207245,1.0,0.5454545454545454,True,POINT (38.0856 54.8857)
732,1796.0,54.8838,38.0785,0.0,2698.0,36999.838788986206,0.9523809523809523,0.3389830508474576,True,POINT (38.0785 54.8838)
733,1796.0,54.8868,38.0756,1.0,6522.0,17009.880399763584,0.9523809523809523,0.3389830508474576,True,POINT (38.0756 54.8868)
734,1796.0,54.8694,38.0426,2.0,2583.0,38245.79112607241,0.9047619047619048,0.3220338983050847,True,POINT (38.0426 54.8694)
735,1797.0,54.8436,38.1914,0.0,2232.0,27512.499999940395,1.0,1.0,False,POINT (38.1914 54.8436)
736,1798.0,54.8888,38.0843,0.0,3401.0,37649.84278070927,1.0,1.0,False,POINT (38.0843 54.8888)
737,1800.0,54.8837,38.1142,0.0,510.0,21943.300000071526,0.5,0.42857142857142855,True,POINT (38.1142 54.8837)
738,1800.0,54.8829,38.054,1.0,505.0,29423.27083325386,0.6666666666666666,0.5714285714285714,True,POINT (38.054 54.8829)
739,1804.0,54.8935,38.0675,0.0,4698.0,27746.75,1.0,1.0,False,POINT (38.0675 54.8935)
740,1805.0,54.8855,38.0849,0.0,2816.0,35017.511268377304,1.0,1.0,False,POINT (38.0849 54.8855)
742,1808.0,54.8854,38.0813,0.0,9036.0,41779.95142549276,1.0,1.0,False,POINT (38.0813 54.8854)
743,1812.0,54.8958,38.0773,0.0,1427.0,33961.472222328186,0.8181818181818182,0.47368421052631576,True,POINT (38.0773 54.8958)
744,1812.0,54.8879,38.0644,1.0,1364.0,32943.23823535442,0.9090909090909091,0.5263157894736842,True,POINT (38.0644 54.8879)
745,1828.0,54.8948,38.0728,0.0,5678.0,23118.406958580017,1.0,1.0,True,POINT (38.0728 54.8948)
748,1841.0,54.8905,38.0638,0.0,2008.0,19217.052380919456,0.6,0.375,True,POINT (38.0638 54.8905)
749,1841.0,54.8873,38.2079,1.0,4409.0,47676.753333210945,1.0,0.625,True,POINT (38.2079 54.8873)
752,1843.0,54.8935,38.0677,0.0,4205.0,20370.90151512623,1.0,1.0,True,POINT (38.0677 54.8935)
754,1854.0,54.8867,38.0797,0.0,4328.0,32818.575187802315,1.0,1.0,False,POINT (38.0797 54.8867)
763,1868.0,54.8796,38.0696,0.0,4047.0,32650.189369738102,1.0,1.0,False,POINT (38.0696 54.8796)
764,1871.0,54.8443,38.1917,0.0,4302.0,30758.579633057117,1.0,0.6216216216216216,True,POINT (38.1917 54.8443)
765,1871.0,54.8566,38.1891,1.0,1862.0,24819.0,0.6086956521739131,0.3783783783783784,True,POINT (38.1891 54.8566)
767,1875.0,54.9046,38.066,0.0,1097.0,26522.5,0.8181818181818182,0.5625,True,POINT (38.066 54.9046)
768,1875.0,54.8847,38.0678,1.0,2976.0,29352.188180863857,0.6363636363636364,0.4375,True,POINT (38.0678 54.8847)
769,1876.0,54.8846,38.0861,0.0,695.0,18528.174999952316,0.5384615384615384,0.35,True,POINT (38.0861 54.8846)
770,1876.0,54.8873,38.0573,1.0,1149.0,51430.200000047684,1.0,0.65,True,POINT (38.0573 54.8873)
771,1885.0,54.8927,38.0839,0.0,2800.0,48010.27499997616,1.0,1.0,False,POINT (38.0839 54.8927)
773,1887.0,54.887,38.0675,0.0,3304.0,20386.27450978756,1.0,1.0,True,POINT (38.0675 54.887)
777,1894.0,54.8934,38.0642,0.0,16043.0,54073.94318181276,1.0,1.0,False,POINT (38.0642 54.8934)
778,1898.0,54.8701,38.1512,0.0,2862.0,28561.694444417953,1.0,1.0,False,POINT (38.1512 54.8701)
779,1902.0,54.8808,38.0557,0.0,5303.0,14659.365470647812,1.0,1.0,True,POINT (38.0557 54.8808)
780,1903.0,54.8946,38.0739,0.0,10369.0,41080.83466386795,1.0,1.0,False,POINT (38.0739 54.8946)
781,1904.0,54.8822,38.0698,0.0,4993.0,23232.0,1.0,1.0,True,POINT (38.0698 54.8822)
783,1912.0,54.8494,38.1711,0.0,2209.0,21602.548076987267,0.4375,0.30434782608695654,True,POINT (38.1711 54.8494)
784,1912.0,54.8553,38.1985,1.0,3307.0,33950.622252583504,1.0,0.6956521739130435,True,POINT (38.1985 54.8553)
786,1917.0,54.8851,38.0867,0.0,1290.0,38434.097039461136,1.0,1.0,False,POINT (38.0867 54.8851)
788,1938.0,54.8778,38.1386,0.0,1601.0,32066.517857134342,1.0,1.0,False,POINT (38.1386 54.8778)
789,1943.0,54.8863,38.0796,0.0,1107.0,21432.5,0.6875,0.44,True,POINT (38.0796 54.8863)
790,1943.0,54.8958,38.0935,1.0,1707.0,31213.5,0.875,0.56,True,POINT (38.0935 54.8958)
793,1956.0,54.8795,38.0678,0.0,2643.0,28695.0,1.0,1.0,False,POINT (38.0678 54.8795)
795,1960.0,54.8483,38.1871,0.0,5024.0,25452.436982929707,0.8823529411764706,0.6818181818181818,True,POINT (38.1871 54.8483)
796,1960.0,54.8981,38.1552,1.0,1591.0,41221.46153855324,0.4117647058823529,0.3181818181818182,True,POINT (38.1552 54.8981)
798,1969.0,54.8969,38.081,0.0,2753.0,35521.661764621735,1.0,1.0,False,POINT (38.081 54.8969)
802,1979.0,54.8935,38.0632,0.0,813.0,21867.477777838707,0.8571428571428571,0.46153846153846156,True,POINT (38.0632 54.8935)
803,1979.0,54.9003,38.0843,1.0,1567.0,38066.60187149048,1.0,0.5384615384615384,True,POINT (38.0843 54.9003)
808,1990.0,54.8872,38.064,1.0,8086.0,30222.53763437271,1.0,0.5833333333333334,True,POINT (38.064 54.8872)
809,1993.0,54.8557,38.1962,0.0,1763.0,20899.645833313465,1.0,1.0,True,POINT (38.1962 54.8557)
813,2002.0,54.8834,38.0657,0.0,4129.0,39637.46607142687,1.0,1.0,False,POINT (38.0657 54.8834)
814,2004.0,54.8836,38.0676,0.0,3181.0,48324.76923084259,1.0,1.0,False,POINT (38.0676 54.8836)
815,2006.0,54.8926,38.0658,0.0,1914.0,24567.158490419388,0.42857142857142855,0.42857142857142855,True,POINT (38.0658 54.8926)
816,2006.0,54.8797,38.0696,1.0,2983.0,41744.10531544685,0.21428571428571427,0.21428571428571427,True,POINT (38.0696 54.8797)
